ÍTEM	Número	Archivo	BIN	HEX
1	6980368	TC1	11010101000001100010000	6A8310
2	5517055	TC1	10101000010111011111111	542EFF
3	1336159	TC1	101000110001101011111	14635F
4	6750185	TC1	11001101111111111101001	66FFE9
5	1771937	TC1	110110000100110100001	1B09A1
6	360952	TC1	1011000000111111000	581F8
7	5672561	TC1	10101101000111001110001	568E71
8	916583	TC1	11011111110001100111	DFC67
9	2700138	TC1	1010010011001101101010	29336A
10	9645053	TC1	100100110010101111111101	932BFD
11	1181110	TC1	100100000010110110110	1205B6
12	1492185	TC1	101101100010011011001	16C4D9
13	4018595	TC1	1111010101000110100011	3D51A3
14	7654888	TC1	11101001100110111101000	74CDE8
15	7062453	TC1	11010111100001110110101	6BC3B5
16	2478010	TC1	1001011100111110111010	25CFBA
17	6134768	TC1	10111011001101111110000	5D9BF0
18	8420417	TC1	100000000111110001000001	807C41
19	2917489	TC1	1011001000010001110001	2C8471
20	3340773	TC1	1100101111100111100101	32F9E5
21	1115956	TC1	100010000011100110100	110734
22	9172192	TC1	100010111111010011100000	8BF4E0
23	6271996	TC1	10111111011001111111100	5FB3FC
24	8686939	TC1	100001001000110101011011	848D5B
25	50986	TC1	1100011100101010	C72A
26	9376410	TC1	100011110001001010011010	8F129A
27	5962327	TC1	10110101111101001010111	5AFA57
28	7686891	TC1	11101010100101011101011	754AEB
29	6615183	TC1	11001001111000010001111	64F08F
30	1864844	TC1	111000111010010001100	1C748C
31	3329962	TC1	1100101100111110101010	32CFAA
32	3942794	TC1	1111000010100110001010	3C298A
33	2614836	TC1	1001111110011000110100	27E634
34	7406772	TC1	11100010000010010110100	7104B4
35	2384190	TC1	1001000110000100111110	24613E
36	398347	TC1	1100001010000001011	6140B
37	8698503	TC1	100001001011101010000111	84BA87
38	9551696	TC1	100100011011111101010000	91BF50
39	1019556	TC1	11111000111010100100	F8EA4
40	1677430	TC1	110011001100001110110	199876
41	3479629	TC1	1101010001100001001101	35184D
42	9309008	TC1	100011100000101101010000	8E0B50
43	5266170	TC1	10100000101101011111010	505AFA
44	4094340	TC1	1111100111100110000100	3E7984
45	1754055	TC1	110101100001111000111	1AC3C7
46	5861132	TC1	10110010110111100001100	596F0C
47	4471329	TC1	10001000011101000100001	443A21
48	8826052	TC1	100001101010110011000100	86ACC4
49	7469325	TC1	11100011111100100001101	71F90D
50	1973172	TC1	111100001101110110100	1E1BB4
51	53145	TC1	1100111110011001	CF99
52	3897508	TC1	1110110111100010100100	3B78A4
53	7773386	TC1	11101101001110011001010	769CCA
54	6089829	TC1	10111001110110001100101	5CEC65
55	4223424	TC1	10000000111000111000000	4071C0
56	9761752	TC1	100101001111001111011000	94F3D8
57	7930799	TC1	11110010000001110101111	7903AF
58	3597495	TC1	1101101110010010110111	36E4B7
59	9302948	TC1	100011011111001110100100	8DF3A4
60	2288712	TC1	1000101110110001001000	22EC48
61	197187	TC1	110000001001000011	30243
62	5266939	TC1	10100000101110111111011	505DFB
63	221545	TC1	110110000101101001	36169
64	7957027	TC1	11110010110101000100011	796A23
65	3195361	TC1	1100001100000111100001	30C1E1
66	7106269	TC1	11011000110111011011101	6C6EDD
67	9633312	TC1	100100101111111000100000	92FE20
68	9713704	TC1	100101000011100000101000	943828
69	91925	TC1	10110011100010101	16715
70	4418686	TC1	10000110110110001111110	436C7E
71	9682250	TC1	100100111011110101001010	93BD4A
72	2583824	TC1	1001110110110100010000	276D10
73	4979126	TC1	10010111111100110110110	4BF9B6
74	6280954	TC1	10111111101011011111010	5FD6FA
75	1228610	TC1	100101011111101000010	12BF42
76	705518	TC1	10101100001111101110	AC3EE
77	1017653	TC1	11111000011100110101	F8735
78	500098	TC1	1111010000110000010	7A182
79	7210727	TC1	11011100000011011100111	6E06E7
80	4250898	TC1	10000001101110100010010	40DD12
81	4055028	TC1	1111011101111111110100	3DDFF4
82	2754240	TC1	1010100000011011000000	2A06C0
83	452999	TC1	1101110100110000111	6E987
84	6831458	TC1	11010000011110101100010	683D62
85	207636	TC1	110010101100010100	32B14
86	7280635	TC1	11011110001011111111011	6F17FB
87	3308937	TC1	1100100111110110001001	327D89
88	4303570	TC1	10000011010101011010010	41AAD2
89	8375055	TC1	11111111100101100001111	7FCB0F
90	1457960	TC1	101100011111100101000	163F28
91	5197625	TC1	10011110100111100111001	4F4F39
92	3144371	TC1	1011111111101010110011	2FFAB3
93	6674138	TC1	11001011101011011011010	65D6DA
94	2692106	TC1	1010010001010000001010	29140A
95	2276769	TC1	1000101011110110100001	22BDA1
96	1940971	TC1	111011001110111101011	1D9DEB
97	3288264	TC1	1100100010110011001000	322CC8
98	4819803	TC1	10010011000101101011011	498B5B
99	9431005	TC1	100011111110011111011101	8FE7DD
100	3992019	TC1	1111001110100111010011	3CE9D3
101	8184782	TC1	11111001110001111001110	7CE3CE
102	2847975	TC1	1010110111010011100111	2B74E7
103	7891025	TC1	11110000110100001010001	786851
104	900082	TC1	11011011101111110010	DBBF2
105	1831532	TC1	110111111001001101100	1BF26C
106	8428253	TC1	100000001001101011011101	809ADD
107	2905752	TC1	1011000101011010011000	2C5698
108	9763121	TC1	100101001111100100110001	94F931
109	257890	TC1	111110111101100010	3EF62
110	4699761	TC1	10001111011011001110001	47B671
111	359541	TC1	1010111110001110101	57C75
112	3446150	TC1	1101001001010110000110	349586
113	4246818	TC1	10000001100110100100010	40CD22
114	1848840	TC1	111000011011000001000	1C3608
115	938480	TC1	11100101000111110000	E51F0
116	227465	TC1	110111100010001001	37889
117	3923488	TC1	1110111101111000100000	3BDE20
118	8915697	TC1	100010000000101011110001	880AF1
119	4309094	TC1	10000011100000001100110	41C066
120	3891251	TC1	1110110110000000110011	3B6033
121	8627956	TC1	100000111010011011110100	83A6F4
122	5884613	TC1	10110011100101011000101	59CAC5
123	1659318	TC1	110010101000110110110	1951B6
124	1834855	TC1	110111111111101100111	1BFF67
125	3386751	TC1	1100111010110101111111	33AD7F
126	3000166	TC1	1011011100011101100110	2DC766
127	9135626	TC1	100010110110011000001010	8B660A
128	4869260	TC1	10010100100110010001100	4A4C8C
129	76550	TC1	10010101100000110	12B06
130	432271	TC1	1101001100010001111	6988F
131	251028	TC1	111101010010010100	3D494
132	7016218	TC1	11010110000111100011010	6B0F1A
133	6896099	TC1	11010010011100111100011	6939E3
134	8386350	TC1	11111111111011100101110	7FF72E
135	8637147	TC1	100000111100101011011011	83CADB
136	936705	TC1	11100100101100000001	E4B01
137	6602175	TC1	11001001011110110111111	64BDBF
138	1429181	TC1	101011100111010111101	15CEBD
139	8395138	TC1	100000000001100110000010	801982
140	6132809	TC1	10111011001010001001001	5D9449
141	5936917	TC1	10110101001011100010101	5A9715
142	2878578	TC1	1010111110110001110010	2BEC72
143	158885	TC1	100110110010100101	26CA5
144	2441957	TC1	1001010100001011100101	2542E5
145	5914794	TC1	10110100100000010101010	5A40AA
146	3999272	TC1	1111010000011000101000	3D0628
147	3142897	TC1	1011111111010011110001	2FF4F1
148	8151159	TC1	11111000110000001110111	7C6077
149	5147564	TC1	10011101000101110101100	4E8BAC
150	4595374	TC1	10001100001111010101110	461EAE
151	4234951	TC1	10000001001111011000111	409EC7
152	7880605	TC1	11110000011111110011101	783F9D
153	7009921	TC1	11010101111011010000001	6AF681
154	695580	TC1	10101001110100011100	A9D1C
155	7370443	TC1	11100000111011011001011	7076CB
156	7921729	TC1	11110001110000001000001	78E041
157	8419625	TC1	100000000111100100101001	807929
158	7024080	TC1	11010110010110111010000	6B2DD0
159	3905988	TC1	1110111001100111000100	3B99C4
160	1767599	TC1	110101111100010101111	1AF8AF
161	935136	TC1	11100100010011100000	E44E0
162	635788	TC1	10011011001110001100	9B38C
163	8807719	TC1	100001100110010100100111	866527
164	317375	TC1	1001101011110111111	4D7BF
165	9975410	TC1	100110000011011001110010	983672
166	2727968	TC1	1010011010000000100000	29A020
167	7444399	TC1	11100011001011110101111	7197AF
168	4065675	TC1	1111100000100110001011	3E098B
169	9925720	TC1	100101110111010001011000	977458
170	2293633	TC1	1000101111111110000001	22FF81
171	7734826	TC1	11101100000011000101010	76062A
172	1065463	TC1	100000100000111110111	1041F7
173	1105617	TC1	100001101111011010001	10DED1
174	5325800	TC1	10100010100001111101000	5143E8
175	3822527	TC1	1110100101001110111111	3A53BF
176	5503858	TC1	10100111111101101110010	53FB72
177	9214055	TC1	100011001001100001100111	8C9867
178	6521769	TC1	11000111000001110101001	6383A9
179	7923796	TC1	11110001110100001010100	78E854
180	5250236	TC1	10100000001110010111100	501CBC
181	1083154	TC1	100001000011100010010	108712
182	472141	TC1	1110011010001001101	7344D
183	9597454	TC1	100100100111001000001110	92720E
184	1581679	TC1	110000010001001101111	18226F
185	656751	TC1	10100000010101101111	A056F
186	345464	TC1	1010100010101111000	54578
187	4281218	TC1	10000010101001110000010	415382
188	6558883	TC1	11001000001010010100011	6414A3
189	3852986	TC1	1110101100101010111010	3ACABA
190	6263187	TC1	10111111001000110010011	5F9193
191	5828308	TC1	10110001110111011010100	58EED4
192	8058535	TC1	11110101111011010100111	7AF6A7
193	9035191	TC1	100010011101110110110111	89DDB7
194	7922103	TC1	11110001110000110110111	78E1B7
195	9366003	TC1	100011101110100111110011	8EE9F3
196	4555717	TC1	10001011000001111000101	4583C5
197	3526753	TC1	1101011101000001100001	35D061
198	3176815	TC1	1100000111100101101111	30796F
199	858440	TC1	11010001100101001000	D1948
200	2250854	TC1	1000100101100001100110	225866
1	7116776	TC2	11011001001011111101000	6C97E8
2	1666340	TC2	110010110110100100100	196D24
3	8886983	TC2	100001111001101011000111	879AC7
4	839365	TC2	11001100111011000101	CCEC5
5	924280	TC2	11100001101001111000	E1A78
6	1026310	TC2	11111010100100000110	FA906
7	1615293	TC2	110001010010110111101	18A5BD
8	1063875	TC2	100000011101111000011	103BC3
9	679035	TC2	10100101110001111011	A5C7B
10	5201970	TC2	10011110110000000110010	4F6032
11	593979	TC2	10010001000000111011	9103B
12	801371	TC2	11000011101001011011	C3A5B
13	3796878	TC2	1110011110111110001110	39EF8E
14	7489201	TC2	11100100100011010110001	7246B1
15	9740020	TC2	100101001001111011110100	949EF4
16	9128737	TC2	100010110100101100100001	8B4B21
17	5473463	TC2	10100111000010010110111	5384B7
18	8701957	TC2	100001001100100000000101	84C805
19	8238050	TC2	11111011011001111100010	7DB3E2
20	8679038	TC2	100001000110111001111110	846E7E
21	385912	TC2	1011110001101111000	5E378
22	5867340	TC2	10110011000011101001100	59874C
23	4894542	TC2	10010101010111101001110	4AAF4E
24	8999451	TC2	100010010101001000011011	89521B
25	4392535	TC2	10000110000011001010111	430657
26	2078131	TC2	111111011010110110011	1FB5B3
27	3070124	TC2	1011101101100010101100	2ED8AC
28	7451998	TC2	11100011011010101011110	71B55E
29	5635510	TC2	10101011111110110110110	55FDB6
30	1233932	TC2	100101101010000001100	12D40C
31	6089867	TC2	10111001110110010001011	5CEC8B
32	1792316	TC2	110110101100100111100	1B593C
33	6298637	TC2	11000000001110000001101	601C0D
34	2408038	TC2	1001001011111001100110	24BE66
35	8510100	TC2	100000011101101010010100	81DA94
36	991581	TC2	11110010000101011101	F215D
37	6455739	TC2	11000101000000110111011	6281BB
38	7829175	TC2	11101110111011010110111	7776B7
39	6328931	TC2	11000001001001001100011	609263
40	9982305	TC2	100110000101000101100001	985161
41	2292022	TC2	1000101111100100110110	22F936
42	1070496	TC2	100000101010110100000	1055A0
43	8518360	TC2	100000011111101011011000	81FAD8
44	6378470	TC2	11000010101001111100110	6153E6
45	7756258	TC2	11101100101100111100010	7659E2
46	7111767	TC2	11011001000010001010111	6C8457
47	2685897	TC2	1010001111101111001001	28FBC9
48	617946	TC2	10010110110111011010	96DDA
49	246280	TC2	111100001000001000	3C208
50	6075442	TC2	10111001011010000110010	5CB432
51	991323	TC2	11110010000001011011	F205B
52	6754202	TC2	11001110000111110011010	670F9A
53	3103178	TC2	1011110101100111001010	2F59CA
54	3228842	TC2	1100010100010010101010	3144AA
55	6786623	TC2	11001111000111000111111	678E3F
56	5329085	TC2	10100010101000010111101	5150BD
57	2334647	TC2	1000111001111110110111	239FB7
58	7253396	TC2	11011101010110110010100	6EAD94
59	6516953	TC2	11000110111000011011001	6370D9
60	5972725	TC2	10110110010001011110101	5B22F5
61	5828037	TC2	10110001110110111000101	58EDC5
62	6642265	TC2	11001010101101001011001	655A59
63	2559699	TC2	1001110000111011010011	270ED3
64	6597631	TC2	11001001010101111111111	64ABFF
65	5826202	TC2	10110001110011010011010	58E69A
66	4642335	TC2	10001101101011000011111	46D61F
67	1862900	TC2	111000110110011110100	1C6CF4
68	6039635	TC2	10111000010100001010011	5C2853
69	3358744	TC2	1100110100000000011000	334018
70	4965249	TC2	10010111100001110000001	4BC381
71	6621475	TC2	11001010000100100100011	650923
72	3336153	TC2	1100101110011111011001	32E7D9
73	1044743	TC2	11111111000100000111	FF107
74	6201477	TC2	10111101010000010000101	5EA085
75	6297100	TC2	11000000001011000001100	60160C
76	885678	TC2	11011000001110101110	D83AE
77	8546891	TC2	100000100110101001001011	826A4B
78	6683923	TC2	11001011111110100010011	65FD13
79	7064472	TC2	11010111100101110011000	6BCB98
80	3430021	TC2	1101000101011010000101	345685
81	9764122	TC2	100101001111110100011010	94FD1A
82	9958605	TC2	100101111111010011001101	97F4CD
83	1006022	TC2	11110101100111000110	F59C6
84	5276496	TC2	10100001000001101010000	508350
85	8876232	TC2	100001110111000011001000	8770C8
86	3364648	TC2	1100110101011100101000	335728
87	3539979	TC2	1101100000010000001011	36040B
88	3003857	TC2	1011011101010111010001	2DD5D1
89	4481634	TC2	10001000110001001100010	446262
90	9035781	TC2	100010011110000000000101	89E005
91	3767021	TC2	1110010111101011101101	397AED
92	4993901	TC2	10011000011001101101101	4C336D
93	8698377	TC2	100001001011101000001001	84BA09
94	4626501	TC2	10001101001100001000101	469845
95	1755352	TC2	110101100100011011000	1AC8D8
96	2755340	TC2	1010100000101100001100	2A0B0C
97	5150616	TC2	10011101001011110011000	4E9798
98	9345169	TC2	100011101001100010010001	8E9891
99	848948	TC2	11001111010000110100	CF434
100	2708748	TC2	1010010101010100001100	29550C
101	8372451	TC2	11111111100000011100011	7FC0E3
102	3523015	TC2	1101011100000111000111	35C1C7
103	2624283	TC2	1010000000101100011011	280B1B
104	8795348	TC2	100001100011010011010100	8634D4
105	2318100	TC2	1000110101111100010100	235F14
106	4750861	TC2	10010000111111000001101	487E0D
107	3770597	TC2	1110011000100011100101	3988E5
108	1053352	TC2	100000001001010101000	1012A8
109	833307	TC2	11001011011100011011	CB71B
110	4632526	TC2	10001101010111111001110	46AFCE
111	2212917	TC2	1000011100010000110101	21C435
112	5053189	TC2	10011010001101100000101	4D1B05
113	412218	TC2	1100100101000111010	64A3A
114	4901564	TC2	10010101100101010111100	4ACABC
115	5094606	TC2	10011011011110011001110	4DBCCE
116	8070285	TC2	11110110010010010001101	7B248D
117	6847905	TC2	11010000111110110100001	687DA1
118	4311824	TC2	10000011100101100010000	41CB10
119	3009421	TC2	1011011110101110001101	2DEB8D
120	1629105	TC2	110001101101110110001	18DBB1
121	8431899	TC2	100000001010100100011011	80A91B
122	7582456	TC2	11100111011001011111000	73B2F8
123	7332147	TC2	11011111110000100110011	6FE133
124	314183	TC2	1001100101101000111	4CB47
125	7632568	TC2	11101000111011010111000	7476B8
126	8161327	TC2	11111001000100000101111	7C882F
127	6961087	TC2	11010100011011110111111	6A37BF
128	6898282	TC2	11010010100001001101010	69426A
129	9749303	TC2	100101001100001100110111	94C337
130	4427419	TC2	10000111000111010011011	438E9B
131	4368829	TC2	10000101010100110111101	42A9BD
132	6439318	TC2	11000100100000110010110	624196
133	6473603	TC2	11000101100011110000011	62C783
134	6446249	TC2	11000100101110010101001	625CA9
135	9818836	TC2	100101011101001011010100	95D2D4
136	9438069	TC2	100100000000001101110101	900375
137	2809499	TC2	1010101101111010011011	2ADE9B
138	3460304	TC2	1101001100110011010000	34CCD0
139	8430904	TC2	100000001010010100111000	80A538
140	9774785	TC2	100101010010011011000001	9526C1
141	9560603	TC2	100100011110001000011011	91E21B
142	3440732	TC2	1101001000000001011100	34805C
143	7053263	TC2	11010111001111111001111	6B9FCF
144	287398	TC2	1000110001010100110	462A6
145	4043644	TC2	1111011011001101111100	3DB37C
146	2943820	TC2	1011001110101101001100	2CEB4C
147	9030962	TC2	100010011100110100110010	89CD32
148	7537540	TC2	11100110000001110000100	730384
149	7203657	TC2	11011011110101101001001	6DEB49
150	5639400	TC2	10101100000110011101000	560CE8
151	9448142	TC2	100100000010101011001110	902ACE
152	9954392	TC2	100101111110010001011000	97E458
153	2856859	TC2	1010111001011110011011	2B979B
154	1332118	TC2	101000101001110010110	145396
155	6984725	TC2	11010101001010000010101	6A9415
156	1925762	TC2	111010110001010000010	1D6282
157	2138171	TC2	1000001010000000111011	20A03B
158	347447	TC2	1010100110100110111	54D37
159	8839390	TC2	100001101110000011011110	86E0DE
160	3951652	TC2	1111000100110000100100	3C4C24
161	3755102	TC2	1110010100110001011110	394C5E
162	6867687	TC2	11010001100101011100111	68CAE7
163	4383175	TC2	10000101110000111000111	42E1C7
164	7125508	TC2	11011001011101000000100	6CBA04
165	7799732	TC2	11101110000001110110100	7703B4
166	8784156	TC2	100001100000100100011100	86091C
167	1372809	TC2	101001111001010001001	14F289
168	1327984	TC2	101000100001101110000	144370
169	9205087	TC2	100011000111010101011111	8C755F
170	6524241	TC2	11000111000110101010001	638D51
171	9316072	TC2	100011100010011011101000	8E26E8
172	127744	TC2	11111001100000000	1F300
173	8388820	TC2	100000000000000011010100	8000D4
174	6883557	TC2	11010010000100011100101	6908E5
175	2291239	TC2	1000101111011000100111	22F627
176	3101270	TC2	1011110101001001010110	2F5256
177	1382825	TC2	101010001100110101001	1519A9
178	9873376	TC2	100101101010011111100000	96A7E0
179	6873500	TC2	11010001110000110011100	68E19C
180	8185634	TC2	11111001110011100100010	7CE722
181	2464786	TC2	1001011001110000010010	259C12
182	8387154	TC2	11111111111101001010010	7FFA52
183	5581444	TC2	10101010010101010000100	552A84
184	8097911	TC2	11110111001000001110111	7B9077
185	8882527	TC2	100001111000100101011111	87895F
186	8941444	TC2	100010000110111110000100	886F84
187	4942703	TC2	10010110110101101101111	4B6B6F
188	101144	TC2	11000101100011000	18B18
189	7471180	TC2	11100100000000001001100	72004C
190	1932131	TC2	111010111101101100011	1D7B63
191	8052752	TC2	11110101110000000010000	7AE010
192	6359493	TC2	11000010000100111000101	6109C5
193	1967646	TC2	111100000011000011110	1E061E
194	6575052	TC2	11001000101001111001100	6453CC
195	2323342	TC2	1000110111001110001110	23738E
196	6735760	TC2	11001101100011110010000	66C790
197	8895858	TC2	100001111011110101110010	87BD72
198	4238091	TC2	10000001010101100001011	40AB0B
199	7093069	TC2	11011000011101101001101	6C3B4D
200	39	TC2	100111	27
1	-39	TC3		
2	-36	TC3		
3	8	TC3	1000	8
4	34	TC3	100010	22
5	17	TC3	10001	11
6	49	TC3	110001	31
7	5	TC3	101	5
8	39	TC3	100111	27
9	0	TC3	0	0
10	33	TC3	100001	21
11	12	TC3	1100	C
12	-6	TC3		
13	27	TC3	11011	1B
14	-4	TC3		
15	-38	TC3		
16	26	TC3	11010	1A
17	49	TC3	110001	31
18	29	TC3	11101	1D
19	42	TC3	101010	2A
20	-16	TC3		
21	-28	TC3		
22	34	TC3	100010	22
23	20	TC3	10100	14
24	0	TC3	0	0
25	25	TC3	11001	19
26	45	TC3	101101	2D
27	3	TC3	11	3
28	-46	TC3		
29	-46	TC3		
30	29	TC3	11101	1D
31	33	TC3	100001	21
32	29	TC3	11101	1D
33	26	TC3	11010	1A
34	-5	TC3		
35	-36	TC3		
36	12	TC3	1100	C
37	45	TC3	101101	2D
38	-50	TC3		
39	0	TC3	0	0
40	-6	TC3		
41	-39	TC3		
42	35	TC3	100011	23
43	26	TC3	11010	1A
44	-35	TC3		
45	-42	TC3		
46	14	TC3	1110	E
47	-3	TC3		
48	22	TC3	10110	16
49	-47	TC3		
50	12	TC3	1100	C
51	-17	TC3		
52	-31	TC3		
53	-25	TC3		
54	-35	TC3		
55	-18	TC3		
56	14	TC3	1110	E
57	37	TC3	100101	25
58	-8	TC3		
59	-41	TC3		
60	-50	TC3		
61	-9	TC3		
62	2	TC3	10	2
63	12	TC3	1100	C
64	-39	TC3		
65	-17	TC3		
66	0	TC3	0	0
67	27	TC3	11011	1B
68	28	TC3	11100	1C
69	45	TC3	101101	2D
70	-44	TC3		
71	28	TC3	11100	1C
72	35	TC3	100011	23
73	-33	TC3		
74	43	TC3	101011	2B
75	-4	TC3		
76	23	TC3	10111	17
77	-49	TC3		
78	49	TC3	110001	31
79	-7	TC3		
80	-38	TC3		
81	-45	TC3		
82	5	TC3	101	5
83	-21	TC3		
84	26	TC3	11010	1A
85	-2	TC3		
86	-24	TC3		
87	6	TC3	110	6
88	-45	TC3		
89	-4	TC3		
90	15	TC3	1111	F
91	0	TC3	0	0
92	-17	TC3		
93	-35	TC3		
94	43	TC3	101011	2B
95	45	TC3	101101	2D
96	-35	TC3		
97	-8	TC3		
98	28	TC3	11100	1C
99	47	TC3	101111	2F
100	34	TC3	100010	22
101	-24	TC3		
102	-42	TC3		
103	-13	TC3		
104	14	TC3	1110	E
105	-45	TC3		
106	-35	TC3		
107	27	TC3	11011	1B
108	-12	TC3		
109	-19	TC3		
110	-20	TC3		
111	-14	TC3		
112	20	TC3	10100	14
113	30	TC3	11110	1E
114	12	TC3	1100	C
115	-36	TC3		
116	-47	TC3		
117	-27	TC3		
118	-3	TC3		
119	6	TC3	110	6
120	36	TC3	100100	24
121	9	TC3	1001	9
122	-16	TC3		
123	36	TC3	100100	24
124	-27	TC3		
125	7	TC3	111	7
126	-6	TC3		
127	-5	TC3		
128	5	TC3	101	5
129	47	TC3	101111	2F
130	23	TC3	10111	17
131	-48	TC3		
132	-24	TC3		
133	40	TC3	101000	28
134	-4	TC3		
135	-18	TC3		
136	-19	TC3		
137	14	TC3	1110	E
138	15	TC3	1111	F
139	1	TC3	1	1
140	24	TC3	11000	18
141	-9	TC3		
142	-50	TC3		
143	18	TC3	10010	12
144	15	TC3	1111	F
145	30	TC3	11110	1E
146	44	TC3	101100	2C
147	9	TC3	1001	9
148	19	TC3	10011	13
149	33	TC3	100001	21
150	41	TC3	101001	29
151	-24	TC3		
152	43	TC3	101011	2B
153	48	TC3	110000	30
154	-23	TC3		
155	7	TC3	111	7
156	28	TC3	11100	1C
157	8	TC3	1000	8
158	-2	TC3		
159	37	TC3	100101	25
160	42	TC3	101010	2A
161	-17	TC3		
162	-6	TC3		
163	36	TC3	100100	24
164	22	TC3	10110	16
165	27	TC3	11011	1B
166	31	TC3	11111	1F
167	-47	TC3		
168	-43	TC3		
